gamePk,gameDate,home_id,away_id,home_name,away_name,home_score,away_score,home_win,total_runs
824526,2026-04-28T22:40:00Z,113,115,Cincinnati Reds,Colorado Rockies,7,2,1,9
823390,2026-04-28T22:40:00Z,134,138,Pittsburgh Pirates,St. Louis Cardinals,7,11,0,18
823473,2026-04-28T22:40:00Z,143,137,Philadelphia Phillies,San Francisco Giants,7,0,1,7
822823,2026-04-28T23:07:00Z,141,111,Toronto Blue Jays,Boston Red Sox,3,0,1,3
823636,2026-04-28T23:10:00Z,121,120,New York Mets,Washington Nationals,8,0,1,8
824931,2026-04-28T23:15:00Z,144,116,Atlanta Braves,Detroit Tigers,5,2,1,7
823716,2026-04-28T23:40:00Z,142,136,Minnesota Twins,Seattle Mariners,1,7,0,8
824610,2026-04-28T23:40:00Z,145,108,Chicago White Sox,Los Angeles Angels,5,2,1,7
823798,2026-04-28T23:40:00Z,158,109,Milwaukee Brewers,Arizona Diamondbacks,13,2,1,15
822908,2026-04-29T00:05:00Z,140,147,Texas Rangers,New York Yankees,2,3,0,5
825017,2026-04-29T01:40:00Z,133,118,Athletics,Kansas City Royals,1,4,0,5
823310,2026-04-29T01:40:00Z,135,112,San Diego Padres,Chicago Cubs,3,8,0,11
823956,2026-04-29T02:10:00Z,119,146,Los Angeles Dodgers,Miami Marlins,1,2,0,3
824445,2026-04-29T17:10:00Z,114,139,Cleveland Guardians,Tampa Bay Rays,3,1,1,4
824608,2026-04-29T17:10:00Z,145,108,Chicago White Sox,Los Angeles Angels,3,2,1,5
823717,2026-04-29T17:40:00Z,142,136,Minnesota Twins,Seattle Mariners,3,5,0,8
822907,2026-04-29T18:35:00Z,140,147,Texas Rangers,New York Yankees,3,0,1,3
822821,2026-04-29T19:07:00Z,141,111,Toronto Blue Jays,Boston Red Sox,8,1,1,9
823958,2026-04-29T19:10:00Z,119,146,Los Angeles Dodgers,Miami Marlins,2,3,0,5
823312,2026-04-29T20:10:00Z,135,112,San Diego Padres,Chicago Cubs,4,5,0,9
824525,2026-04-29T22:40:00Z,113,115,Cincinnati Reds,Colorado Rockies,2,13,0,15
823392,2026-04-29T22:40:00Z,134,138,Pittsburgh Pirates,St. Louis Cardinals,4,5,0,9
823633,2026-04-29T23:10:00Z,121,120,New York Mets,Washington Nationals,2,14,0,16
824930,2026-04-29T23:15:00Z,144,116,Atlanta Braves,Detroit Tigers,4,3,1,7
823796,2026-04-29T23:40:00Z,158,109,Milwaukee Brewers,Arizona Diamondbacks,2,6,0,8
825015,2026-04-30T01:40:00Z,133,118,Athletics,Kansas City Royals,5,2,1,7
824929,2026-04-30T16:15:00Z,144,116,Atlanta Braves,Detroit Tigers,2,5,0,7
824848,2026-04-30T16:35:00Z,110,117,Baltimore Orioles,Houston Astros,10,3,1,13
824850,2026-04-30T16:40:00Z,110,117,Baltimore Orioles,Houston Astros,5,11,0,16
823391,2026-04-30T16:35:00Z,134,138,Pittsburgh Pirates,St. Louis Cardinals,5,10,0,15
